Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
1154829,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2314733,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2488509,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2519335,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2751459,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2863359,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3984977,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4349290,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4477798,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4797272,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4975179,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5173366,Classes,Attended,CrossFit: 5:30 AM,2025-01-31T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5207036,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5288936,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5293376,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5423019,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5506973,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5581412,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5627633,Classes,Attended,CrossFit: 12:30 PM,2025-01-31T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5536988,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
5506973,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
5389441,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5423019,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
5293376,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
5220339,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
5173366,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4988491,Classes,Attended,CrossFit: 6:00 PM,2025-01-30T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4988510,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5027460,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
4975179,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4933048,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4826049,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4884407,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4899456,Classes,Attended,CrossFit: 6:00 PM,2025-01-30T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4797272,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4769029,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4477798,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3984977,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
3781481,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
3862447,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
3868686,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
2863359,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2751459,Classes,Attended,CrossFit: 12:30 PM,2025-01-30T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Emannuel Machado,
2314733,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1154829,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1154863,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1154877,Classes,Attended,CrossFit: 6:00 PM,2025-01-30T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1237727,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1420753,Classes,Attended,CrossFit: 5:30 AM,2025-01-30T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1154782,Classes,Attended,CrossFit: 6:00 PM,2025-01-30T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1154861,Classes,Attended,CrossFit: 5:30 AM,2025-01-29T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
1154829,Classes,Attended,CrossFit: 5:30 AM,2025-01-29T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2314733,Classes,Attended,CrossFit: 5:30 AM,2025-01-29T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2751459,Classes,Attended,CrossFit: 12:30 PM,2025-01-29T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2772791,Classes,Attended,CrossFit: 6:00 PM,2025-01-29T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Miguel Fernandes,
2797452,Classes,Attended,CrossFit: 12:30 PM,2025-01-29T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2863359,Classes,Attended,CrossFit: 5:30 AM,2025-01-29T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2797453,Classes,Attended,CrossFit: 12:30 PM,2025-01-29T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
